Complexity,Loss,Equation
1,45.430164,"-1.083918"
2,33.60272,"exp(0.8566334)"
3,33.1943,"exp(cos(x3))"
4,19.95536,"exp(-0.56247735 * x0)"
5,3.0454917,"-1.7557721 + (x0 * x0)"
7,3.029573,"((x0 * 0.9776903) * x0) + -1.6640396"
8,1.118488,"((x0 * x0) + cos(x3)) + -1.8519503"
9,0.9515149,"exp(cos(x3)) + ((x0 * x0) + -3.1192636)"
10,3.533321e-13,"(cos(x3) * 2.5382) + ((x0 * x0) + -1.9999999)"
12,3.391346e-13,"(cos(x3) * (1.3558966 + 1.1823033)) + ((x0 * x0) + -2.0)"
17,2.5634304e-13,"(cos(x3) * (0.86253977 + 1.6756601)) + (((-0.26150265 * exp(0.20137759)) + (x0 * x0)) + -1.6801594)"
